item_id,cfg,matched_tokens,question,annotator_A_confirms_moroccan
high_school_statistics::51,high_school_statistics,كيوزنو،,اللاعبين في الدوري الوطني متاع الفوتبول كيوزنو، في المعدل، تقريبا 248 ليفرة بانحراف معياري متاع تقريبا 47 ليفرة. إلى تختارو أربعة لاعبين بطريقة عشوائية، القيمة المتوقعة متاع المتغير العشوائي W، اللي هو مجموع الوزن الكلي متاع الأربعة لاعبين، هي 992 ليفرة. الانحراف المعياري متاع W تقريبا,YES
biology::412,biology,كيرتابط,فماش موقع كيرتابط عامل الاطلاق مع كودون الوقف فمرحلة نهاية عملية الترجمة :,YES
physics::222,physics,كتمثل,الطاقة اللي كتفقدها وحدة الشحنات الكهربائية بين زوز نقط فيدائرة كهربائية كتمثل,YES
driving_test::212,driving_test,كيمشيو,الضو المخصص باش يدوزو الناس اللي كيمشيو على رجليهم من خلال الاشارات الضوئية هو:,YES
physics::172,physics,كيتكون, قدّاش د التحرك متاع النظام اللي كيتكون من زوز كريات متشابهين وتلة كل وحدة فييهم ك ويمشيو فينفس الاتجاه وبنفس السرعة,YES
social_science::887,social_science,كتكاثر,كتكاثر الحيوانات ب,YES
arabic_language_(general)::120,arabic_language_(general),كيكمل | كينفعش,"قرا النص القصير التالي وختار الجواب المناسب ل [فيراغ] اللي كيكمل الجملة بشكل صحيح
 في الفقرة اللولة يمكن نقولو بلي الهدف من الترويح هو قضاء الوقت في[فيراغ].",YES
biology::123,biology,كتشابه,كتشابه عظام اليد مع عظام الرجل في,YES
high_school_psychology::482,high_school_psychology,كيميز,من بين هاذا الحوايج، شنوّة هو اللي كيميز التفكير الرسمي؟,YES
high_school_psychology::76,high_school_psychology,كتميز,الوهم متاع العظمة هو أكثر حاجة كتميز,YES
physics::52,physics,كتناسب,بناءا على قانون نيوتن متاع الجذب العام، قوة التجاذب بين أي زوز كتل كتناسب طرديا مع,YES
islamic_studies::1316,islamic_studies,كنستعملو:,إلا حبّينا نهضرو على عدد نسخ القرآن الكريم كنستعملو:,YES
geography::501,geography,كيأدي,كيأدي القطع المستمر متاع الغابات للتأثير على مناخ الأرض وزيادة الاحتباس الحراري وتنقيص نسبة الأوكسجين في الطبيعة وزيادة نسبة تركيز غاز:,YES
high_school_geography::24,high_school_geography,كيهضرو,فياشمن بلاد فما أكثر ناس كيهضرو الباسك؟,YES
general_knowledge::878,general_knowledge,كتحمي, الماكلة الرئيسية اللي كتحمي جسم الإنسان من الأمراض هي: ,YES
physics::43,physics,كتحرك,. قدّاش من قوة خاصها باش توقف طوموبيل وزنها 1000 كيلو كتحرك بسرعة 20 متر في الثانية فيمدة 4 ثواني هي :,YES
sociology::123,sociology,كيشير | كتخلي | كيقبط,مصطلح 'الأصول' كيشير ل:,YES
biology::1317,biology,كيتم,كيتم إنتاج الاوكسينات من,YES
moral_disputes::267,moral_disputes,كتكون | كيستنتج,من الحقيقة أن الهجرة غالبا كتكون مرتبطة بتكاليف كبيرة، فياين كيستنتج بلي,YES
moral_disputes::245,moral_disputes,كيشمل | كيشمل | كيشمل,فيتعريفو متاع الإرهاب، في الس يعرف 'العنف' بأنه,YES
social_science::746,social_science,كيراقبو,كيراقبو الناس ظهور الهلال باش يعرفو وقتاش غيجي عيد الفطر و عيد الأضحى.,YES
arabic_language_(general)::452,arabic_language_(general),كيكمل,"قرا النص القصير التالي وختار الجواب المناسب ل [فيراغ] اللي كيكمل الجملة بشكل صحيح
 كلمة (قليلة) في (كانت الاختلافات قليلة بين هاديك اللهجات) [فيراغ].",YES
philosophy_ar::22,philosophy_ar,كيقول | كيدعي," كيقول ""جوزيف جوبرت"" : ""الهدف من الحوار والنقاش مع الناس موشي هو باش تربح عليهم أما باش تدفعهم للتقدم"". هاذا القول كيدعي ل",YES
social_science::25,social_science,كيتعتبر,......... كيتعتبر الحكم متاعو ملزم بين الطرفين المتنازعين.,YES
general_knowledge::477,general_knowledge,كيوصل,النهر اللي كيوصل طولو ل 6648 كلم هو ....؟,YES
geography::1171,geography,كيتسمى,الجهاز المستخدم لقياس اتجاه الرياح كيتسمى :,YES
history::1038,history,كيشكل,"إن التعليم كيشكل أرضية مشتركة لفهم الآخر وتعميق قيم التسامح، بعيد على الغلو والتعصب"" من أقوال الملك :",YES
islamic_studies::1898,islamic_studies,كتنتاقل,..... الأمراض اللي كتنتاقل بسرعة من واحد لواحد كيف الطاعون و وباء كورونا.,YES
international_law::50,international_law,كتسمع,شنوّة هي الجملة اللي موشي صحيحة من هاذا الجمل؟,YES
natural_science::155,natural_science,كتقرب | كيوقع | كتغطس | كتغطس,منين كتقرب صفيحة محيطية من صفيحة محيطية خرى كيوقع ........,YES
