annotation_order,item_id,subject,source,A_semantic_fidelity,A_answer_preservation,A_tunisian_authenticity,A_msa_moroccan_interference,A_orthographic_naturalness,A_cultural_validity,A_verdict,A_origin,A_corrected_derja,B_semantic_fidelity,B_answer_preservation,B_tunisian_authenticity,B_msa_moroccan_interference,B_orthographic_naturalness,B_cultural_validity,B_verdict,B_origin,final_verdict,final_origin,adjudicated
1,moral_scenarios::665,moral_scenarios,mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,في اناهي حالة من هاذي الحالتين الشخصية الرئيسية (الي تستعمل أنا/ليا/متاعي) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | خترت التفاح المعفن بش نعطيه للجمعية الخيرية. الحالة 2 | بعت توت براني في سوق الفلاحة.,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
2,high_school_european_history::137,high_school_european_history,mmlu,1,0,0,0,0,1,DISCARD,UNCLEAR,"هذا السؤال يتعلّق بالمعلومات التالية.
هاذوما زوز نصوص كتبهم المستكشف كريستوفر كولومبوس والأسقف الدومينيكاني متاع شياباس في المكسيك، بارتولومي دي لاس كاساس.
المصدر 1
الهنود كانوا يعطيوا أي حاجة يطلبها البيّاع... وهكّة كانوا يتبادلوا، كيما البهايم، القطن والذهب مقابل قطع متاع أقواس، وكيسان، وقرعات، وبرمات؛ أما أنا منعت الحكاية هاذي خاطرها موش عادلة، وأنا بروحي عطيتهم برشا حوايج مزيانين وباهين جبتهم معايا، وما خذيت منهم شي في المقابل؛ عملت هكّة باش نجّم نصالحهم بالساهل، باش يولّيوا مسيحيين، ويبداو يحترموا في الملك والملكة، الأمراء متاعنا والإسبان الكل، وباش نحمّسهم يلوّجوا ويلمّوا ويعطيونا الحوايج هاذي اللي عندهم منها برشا، وإحنا محتاجينها ياسر.
—كريستوفر كولومبوس: رسالة لرافاييل سانشيز، 1493
المصدر 2
على العلّوش المسالمين هاذوما... من أول نهار شافوهم فيه، الإسبان هجموا عليهم كيما الذياب الجيعانة على القطيع، ولاّ كيما النمورة والسباع اللي عندهم أيام ما ذاقوش اللحم. الطريقة اللي بداو بيها قعدت هي هي حتى لليوم، والإسبان مازالوا ما يعملوا شي كان يقصّوا في السكان الأصليين، يقتلوا فيهم ويعذّبوا فيهم بلا رحمة، يهرسوا فيهم ويضطهدوا فيهم. باش نوصف في وقتو شوية من طرق التعذيب اللي اخترعوهم وطوّروهم للغرض هذا، أما الواحد ينجّم يعرف قدّاش الطرق هاذي فظيعة من الأرقام وحدها. وقتلّي وصلوا الإسبان أول مرة، كان عدد السكان الأصليين في جزيرة هيسبانيولا قريب 3 ملايين؛ اليوم ما بقاوش كان 200. السبب في قتل وتدمير العدد اللامتناهي هذا من الأرواح هو اللي المسيحيين عندهم هدف نهائي، وهو الحصول على الذهب، وباش يثريوا في وقت قصير ويوصلوا لمرتبة عالية ما يستحقوهاش.
—بارتولومي دي لاس كاساس: تقرير قصير على تدمير جزر الهند، 1542
السؤال: من بين الدوافع هاذي متاع الاستكشاف، شنوّة هو اللي دي لاس كاساس على الأغلب باش يعتبرو الأهم في المصدر 2؟",1,1,0,0,0,1,FIXABLE,TRANSLATION,DISCARD,UNCLEAR,True
3,biology::1356,biology,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,حبوب اللقاح تتكوّن بالانقسام ٠٠٠٠٠ داخل أكياس حبوب اللقاح في المتك.,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
4,world_religions::120,world_religions,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"زوانغزي يوصف حالة ""زيران"" (ziran)، شنوّة معناها الكلمة هاذي؟",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
5,security_studies::152,security_studies,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"في سياق الأمن العسكري، شنوّة من الحوايج هاذي موش فايدة واضحة من تبنّي مقاربة نظرية ""نقدية""؟|||1. مقاربة أكثر نقدية لدراسات الأمن العسكري باش تسمح بإدخال ولاّ تبنّي نماذج موش واقعية، كيما البنائية الاجتماعية.
2. التحليل النقدي للأمن العسكري باش يرجّع الانتباه للمفاهيم التقليدية متاع النموذج المرتكز على الدولة اللي تهمّشت في السنوات الأخيرة، على خاطر الدول فضّلت الأمن الإنساني ومقاربات أخرى موش تقليدية.
3. كي نطبّقوا تحليل نقدي نجّموا نعترفوا اللي المفاهيم التقليدية متاع الأمن العسكري ماعادش ديما مناسبة للوقت هذا ويمكن يلزمها تتراجع.
4. المقاربة النقدية باش تعترف بالتغيير في مفهوم الأمن في العالم الحقيقي. التغييرات هاذي باينة في الطرق الجديدة اللي تدارت بيها الحرب في القرن العشرين والواحد والعشرين.",1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
6,economics::74,economics,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,بلاغ صادر على رئاسة الحكومة موجّه للوزارات والهياكل الحكومية الكل باش تحضّر الميزانية العامة وفق القواعد والتوجيهات المطلوبة. المرحلة هاذي هي مرحلة:,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
7,biology::485,biology,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,وحدة من هاذي ما تتستعملش في التفاعلات الضوئية الحلقية:,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
8,nutrition::123,nutrition,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"سلامة اناهي مادة من المواد هاذي لازمها تثبت قبل ما تتزاد في الماكلة؟|||1. المواد الكيماوية متاع المبيدات
2. المواد اللي تخرج من تغليف الماكلة
3. المواد الملوّنة
4. كل اللي تقال",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
9,high_school_government_and_politics::67,high_school_government_and_politics,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"المبدأ اللي يقول اللي وثيقة الحقوق تتطبّق على الحكومة الفيدرالية وحكومات الولايات عن طريق التعديل الرابع عشر يتسمّى:|||1. الماندامس
2. هابياس كوربوس
3. التفسير الضيق
4. مبدأ الإدماج",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
10,social_science::617,social_science,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
