item_id,subject,source,gold,pred,correct,raw
moral_scenarios::665,moral_scenarios,mmlu,2,2,1,2
biology::1356,biology,arabic_mmlu,3,3,1,3
world_religions::120,world_religions,mmlu,3,3,1,3
security_studies::152,security_studies,mmlu,2,2,1,2
economics::74,economics,arabic_mmlu,1,1,1,1
biology::485,biology,arabic_mmlu,2,2,1,2
nutrition::123,nutrition,mmlu,4,4,1,4
high_school_government_and_politics::67,high_school_government_and_politics,mmlu,4,4,1,4
social_science::617,social_science,arabic_mmlu,2,2,1,2
driving_test::1161,driving_test,arabic_mmlu,1,1,1,1
arabic_language::53,arabic_language,arabic_mmlu,4,4,1,4
moral_scenarios::253,moral_scenarios,mmlu,3,3,1,3
moral_scenarios::441,moral_scenarios,mmlu,1,1,1,1
accounting::69,accounting,arabic_mmlu,2,2,1,2
natural_science::573,natural_science,arabic_mmlu,1,1,1,1
moral_disputes::321,moral_disputes,mmlu,1,1,1,1
natural_science::306,natural_science,arabic_mmlu,4,4,1,4
professional_law::1198,professional_law,mmlu,1,1,1,1
computer_science::172,computer_science,arabic_mmlu,3,3,1,3
islamic_studies::895,islamic_studies,arabic_mmlu,1,1,1,1
driving_test::1069,driving_test,arabic_mmlu,1,1,1,1
high_school_world_history::119,high_school_world_history,mmlu,3,3,1,3
logical_fallacies::27,logical_fallacies,mmlu,4,4,1,4
civics::23,civics,arabic_mmlu,1,1,1,1
high_school_government_and_politics::137,high_school_government_and_politics,mmlu,3,2,0,2
high_school_psychology::174,high_school_psychology,mmlu,3,3,1,3
logical_fallacies::132,logical_fallacies,mmlu,1,1,1,1
nutrition::103,nutrition,mmlu,1,1,1,1
professional_psychology::47,professional_psychology,mmlu,2,2,1,2
arabic_language::457,arabic_language,arabic_mmlu,1,1,1,1
arabic_language_(general)::557,arabic_language_(general),arabic_mmlu,1,1,1,1
biology::834,biology,arabic_mmlu,4,4,1,4
international_law::115,international_law,mmlu,3,3,1,3
biology::1157,biology,arabic_mmlu,3,3,1,3
driving_test::441,driving_test,arabic_mmlu,4,4,1,4
computer_science::8,computer_science,arabic_mmlu,2,2,1,2
arabic_language::588,arabic_language,arabic_mmlu,4,4,1,4
islamic_studies::1112,islamic_studies,arabic_mmlu,2,2,1,2
moral_scenarios::67,moral_scenarios,mmlu,1,1,1,1
marketing::105,marketing,mmlu,1,1,1,1
geography::1169,geography,arabic_mmlu,2,2,1,2
driving_test::127,driving_test,arabic_mmlu,2,2,1,2
professional_law::318,professional_law,mmlu,3,2,0,2
marketing::176,marketing,mmlu,4,3,0,3
international_law::35,international_law,mmlu,2,2,1,2
biology::210,biology,arabic_mmlu,2,2,1,2
jurisprudence::87,jurisprudence,mmlu,3,3,1,3
history::761,history,arabic_mmlu,2,2,1,2
geography::614,geography,arabic_mmlu,1,1,1,1
high_school_psychology::184,high_school_psychology,mmlu,2,2,1,2
law::194,law,arabic_mmlu,1,1,1,1
human_aging::124,human_aging,mmlu,2,2,1,2
high_school_world_history::30,high_school_world_history,mmlu,3,3,1,3
world_religions::8,world_religions,mmlu,3,3,1,3
geography::1273,geography,arabic_mmlu,3,3,1,3
professional_psychology::556,professional_psychology,mmlu,1,1,1,1
islamic_studies::2047,islamic_studies,arabic_mmlu,1,1,1,1
world_religions::158,world_religions,mmlu,1,1,1,1
professional_law::1260,professional_law,mmlu,4,4,1,4
high_school_geography::160,high_school_geography,mmlu,4,4,1,4
islamic_studies::1444,islamic_studies,arabic_mmlu,1,1,1,1
moral_disputes::262,moral_disputes,mmlu,2,2,1,2
biology::1266,biology,arabic_mmlu,4,4,1,4
arabic_language_(grammar)::227,arabic_language_(grammar),arabic_mmlu,2,2,1,2
human_aging::198,human_aging,mmlu,2,2,1,2
moral_scenarios::746,moral_scenarios,mmlu,4,4,1,4
geography::1268,geography,arabic_mmlu,3,3,1,3
international_law::79,international_law,mmlu,1,1,1,1
professional_law::567,professional_law,mmlu,2,2,1,2
driving_test::243,driving_test,arabic_mmlu,1,1,1,1
social_science::807,social_science,arabic_mmlu,1,1,1,1
islamic_studies::1777,islamic_studies,arabic_mmlu,1,1,1,1
islamic_studies::1275,islamic_studies,arabic_mmlu,4,4,1,4
philosophy_ar::7,philosophy_ar,arabic_mmlu,1,4,0,4
islamic_studies::531,islamic_studies,arabic_mmlu,3,3,1,3
jurisprudence::51,jurisprudence,mmlu,1,1,1,1
high_school_statistics::99,high_school_statistics,mmlu,4,4,1,4
social_science::660,social_science,arabic_mmlu,2,2,1,2
islamic_studies::1893,islamic_studies,arabic_mmlu,2,4,0,4
arabic_language_(grammar)::295,arabic_language_(grammar),arabic_mmlu,1,1,1,1
moral_scenarios::390,moral_scenarios,mmlu,1,1,1,1
high_school_government_and_politics::70,high_school_government_and_politics,mmlu,1,1,1,1
world_religions::62,world_religions,mmlu,3,3,1,3
arabic_language_(general)::468,arabic_language_(general),arabic_mmlu,4,4,1,4
islamic_studies::2016,islamic_studies,arabic_mmlu,4,4,1,4
professional_psychology::599,professional_psychology,mmlu,1,1,1,1
economics::118,economics,arabic_mmlu,2,2,1,2
professional_law::769,professional_law,mmlu,2,3,0,3
math::283,math,arabic_mmlu,3,3,1,3
public_relations::60,public_relations,mmlu,3,3,1,3
general_knowledge::85,general_knowledge,arabic_mmlu,4,4,1,4
geography::842,geography,arabic_mmlu,3,3,1,3
arabic_language::378,arabic_language,arabic_mmlu,3,3,1,3
islamic_studies::1245,islamic_studies,arabic_mmlu,1,1,1,1
moral_disputes::129,moral_disputes,mmlu,3,3,1,3
biology::1051,biology,arabic_mmlu,3,3,1,3
economics::251,economics,arabic_mmlu,3,3,1,3
computer_science::430,computer_science,arabic_mmlu,1,1,1,1
general_knowledge::1177,general_knowledge,arabic_mmlu,1,1,1,1
islamic_studies::158,islamic_studies,arabic_mmlu,1,1,1,1
biology::1153,biology,arabic_mmlu,2,2,1,2
management_ar::24,management_ar,arabic_mmlu,2,2,1,2
human_aging::16,human_aging,mmlu,2,2,1,2
driving_test::48,driving_test,arabic_mmlu,1,1,1,1
nutrition::294,nutrition,mmlu,3,3,1,3
professional_law::1059,professional_law,mmlu,4,4,1,4
islamic_studies::1582,islamic_studies,arabic_mmlu,2,2,1,2
geography::106,geography,arabic_mmlu,3,3,1,3
high_school_european_history::149,high_school_european_history,mmlu,1,1,1,1
general_knowledge::724,general_knowledge,arabic_mmlu,2,2,1,2
professional_law::1170,professional_law,mmlu,3,3,1,3
sociology::125,sociology,mmlu,3,3,1,3
global_facts::50,global_facts,mmlu,3,1,0,1
islamic_studies::115,islamic_studies,arabic_mmlu,1,1,1,1
economics::135,economics,arabic_mmlu,2,1,0,1
natural_science::33,natural_science,arabic_mmlu,2,2,1,2
moral_disputes::46,moral_disputes,mmlu,3,3,1,3
islamic_studies::694,islamic_studies,arabic_mmlu,4,4,1,4
philosophy::133,philosophy,mmlu,3,3,1,3
islamic_studies::2100,islamic_studies,arabic_mmlu,4,4,1,4
history::347,history,arabic_mmlu,3,3,1,3
security_studies::193,security_studies,mmlu,3,3,1,3
professional_law::1382,professional_law,mmlu,4,4,1,4
high_school_psychology::340,high_school_psychology,mmlu,3,3,1,3
high_school_statistics::208,high_school_statistics,mmlu,2,2,1,2
computer_science::368,computer_science,arabic_mmlu,1,2,0,2
arabic_language_(general)::27,arabic_language_(general),arabic_mmlu,4,2,0,2
islamic_studies::1994,islamic_studies,arabic_mmlu,1,1,1,1
arabic_language_(grammar)::7,arabic_language_(grammar),arabic_mmlu,1,1,1,1
high_school_geography::74,high_school_geography,mmlu,4,4,1,4
arabic_language_(general)::509,arabic_language_(general),arabic_mmlu,1,1,1,1
philosophy::147,philosophy,mmlu,3,3,1,3
geography::237,geography,arabic_mmlu,4,4,1,4
computer_science::84,computer_science,arabic_mmlu,2,2,1,2
general_knowledge::71,general_knowledge,arabic_mmlu,1,1,1,1
management::89,management,mmlu,2,2,1,2
biology::366,biology,arabic_mmlu,1,1,1,1
general_knowledge::922,general_knowledge,arabic_mmlu,4,4,1,4
history::496,history,arabic_mmlu,3,3,1,3
high_school_world_history::149,high_school_world_history,mmlu,1,1,1,1
general_knowledge::101,general_knowledge,arabic_mmlu,1,1,1,1
public_relations::10,public_relations,mmlu,1,1,1,1
math::88,math,arabic_mmlu,3,3,1,3
arabic_language_(general)::576,arabic_language_(general),arabic_mmlu,1,1,1,1
history::486,history,arabic_mmlu,1,1,1,1
high_school_government_and_politics::58,high_school_government_and_politics,mmlu,2,2,1,2
sociology::8,sociology,mmlu,3,3,1,3
law::222,law,arabic_mmlu,5,5,1,5
professional_law::847,professional_law,mmlu,1,1,1,1
history::901,history,arabic_mmlu,1,1,1,1
math::75,math,arabic_mmlu,2,2,1,2
biology::447,biology,arabic_mmlu,1,1,1,1
security_studies::87,security_studies,mmlu,4,4,1,4
security_studies::24,security_studies,mmlu,4,4,1,4
arabic_language_(grammar)::302,arabic_language_(grammar),arabic_mmlu,3,3,1,3
arabic_language_(general)::88,arabic_language_(general),arabic_mmlu,1,1,1,1
driving_test::518,driving_test,arabic_mmlu,3,3,1,3
general_knowledge::501,general_knowledge,arabic_mmlu,1,1,1,1
high_school_world_history::215,high_school_world_history,mmlu,1,1,1,1
natural_science::395,natural_science,arabic_mmlu,2,2,1,2
high_school_european_history::3,high_school_european_history,mmlu,3,3,1,3
philosophy_ar::38,philosophy_ar,arabic_mmlu,1,1,1,1
high_school_statistics::35,high_school_statistics,mmlu,2,2,1,2
geography::357,geography,arabic_mmlu,1,1,1,1
islamic_studies::2029,islamic_studies,arabic_mmlu,4,4,1,4
geography::1327,geography,arabic_mmlu,2,2,1,2
global_facts::16,global_facts,mmlu,2,2,1,2
logical_fallacies::114,logical_fallacies,mmlu,2,2,1,2
professional_law::38,professional_law,mmlu,4,4,1,4
high_school_european_history::160,high_school_european_history,mmlu,1,1,1,1
geography::599,geography,arabic_mmlu,1,1,1,1
philosophy_ar::9,philosophy_ar,arabic_mmlu,1,1,1,1
professional_law::143,professional_law,mmlu,3,3,1,3
law::247,law,arabic_mmlu,3,3,1,3
driving_test::507,driving_test,arabic_mmlu,3,4,0,4
arabic_language_(grammar)::192,arabic_language_(grammar),arabic_mmlu,1,1,1,1
professional_law::121,professional_law,mmlu,1,1,1,1
social_science::824,social_science,arabic_mmlu,3,3,1,3
social_science::885,social_science,arabic_mmlu,1,1,1,1
civics::246,civics,arabic_mmlu,2,4,0,4
islamic_studies::2042,islamic_studies,arabic_mmlu,1,1,1,1
professional_law::731,professional_law,mmlu,1,1,1,1
marketing::125,marketing,mmlu,3,3,1,3
high_school_psychology::431,high_school_psychology,mmlu,1,1,1,1
general_knowledge::965,general_knowledge,arabic_mmlu,4,4,1,4
social_science::535,social_science,arabic_mmlu,1,1,1,1
high_school_geography::43,high_school_geography,mmlu,4,4,1,4
physics::107,physics,arabic_mmlu,4,4,1,4
high_school_psychology::514,high_school_psychology,mmlu,2,2,1,2
public_relations::17,public_relations,mmlu,3,1,0,1
professional_psychology::448,professional_psychology,mmlu,3,3,1,3
arabic_language::408,arabic_language,arabic_mmlu,3,3,1,3
political_science::44,political_science,arabic_mmlu,2,2,1,2
accounting::16,accounting,arabic_mmlu,2,2,1,2
geography::1295,geography,arabic_mmlu,1,1,1,1
social_science::279,social_science,arabic_mmlu,1,1,1,1
economics::168,economics,arabic_mmlu,3,3,1,3
computer_science::247,computer_science,arabic_mmlu,3,3,1,3
islamic_studies::1819,islamic_studies,arabic_mmlu,3,3,1,3
political_science::125,political_science,arabic_mmlu,3,4,0,4
professional_psychology::111,professional_psychology,mmlu,4,4,1,4
accounting::21,accounting,arabic_mmlu,3,3,1,3
human_aging::221,human_aging,mmlu,2,2,1,2
jurisprudence::76,jurisprudence,mmlu,1,1,1,1
social_science::262,social_science,arabic_mmlu,1,1,1,1
arabic_language::176,arabic_language,arabic_mmlu,3,3,1,3
marketing::6,marketing,mmlu,4,4,1,4
world_religions::110,world_religions,mmlu,1,1,1,1
islamic_studies::680,islamic_studies,arabic_mmlu,4,4,1,4
arabic_language::624,arabic_language,arabic_mmlu,4,1,0,1
arabic_language::27,arabic_language,arabic_mmlu,2,2,1,2
islamic_studies::548,islamic_studies,arabic_mmlu,4,4,1,4
global_facts::55,global_facts,mmlu,2,2,1,2
social_science::817,social_science,arabic_mmlu,2,2,1,2
geography::752,geography,arabic_mmlu,4,4,1,4
public_relations::101,public_relations,mmlu,1,1,1,1
high_school_european_history::162,high_school_european_history,mmlu,2,2,1,2
geography::495,geography,arabic_mmlu,2,2,1,2
moral_scenarios::59,moral_scenarios,mmlu,4,4,1,4
moral_scenarios::374,moral_scenarios,mmlu,1,1,1,1
high_school_government_and_politics::104,high_school_government_and_politics,mmlu,3,3,1,3
marketing::175,marketing,mmlu,4,4,1,4
sociology::3,sociology,mmlu,4,4,1,4
public_relations::61,public_relations,mmlu,2,2,1,2
sociology::126,sociology,mmlu,4,4,1,4
high_school_psychology::190,high_school_psychology,mmlu,4,4,1,4
political_science::100,political_science,arabic_mmlu,3,3,1,3
natural_science::72,natural_science,arabic_mmlu,4,4,1,4
natural_science::166,natural_science,arabic_mmlu,3,3,1,3
moral_scenarios::780,moral_scenarios,mmlu,4,4,1,4
general_knowledge::7,general_knowledge,arabic_mmlu,4,4,1,4
biology::0,biology,arabic_mmlu,2,2,1,2
management_ar::12,management_ar,arabic_mmlu,2,2,1,2
social_science::610,social_science,arabic_mmlu,2,1,0,1
civics::223,civics,arabic_mmlu,2,2,1,2
islamic_studies::1133,islamic_studies,arabic_mmlu,1,1,1,1
driving_test::608,driving_test,arabic_mmlu,1,1,1,1
jurisprudence::90,jurisprudence,mmlu,2,2,1,2
general_knowledge::883,general_knowledge,arabic_mmlu,2,2,1,2
nutrition::228,nutrition,mmlu,1,1,1,1
nutrition::20,nutrition,mmlu,4,4,1,4
professional_psychology::275,professional_psychology,mmlu,3,3,1,3
high_school_psychology::13,high_school_psychology,mmlu,1,1,1,1
biology::1358,biology,arabic_mmlu,1,1,1,1
jurisprudence::56,jurisprudence,mmlu,1,1,1,1
natural_science::196,natural_science,arabic_mmlu,4,4,1,4
moral_disputes::100,moral_disputes,mmlu,2,3,0,3
geography::1316,geography,arabic_mmlu,2,2,1,2
general_knowledge::664,general_knowledge,arabic_mmlu,2,2,1,2
global_facts::88,global_facts,mmlu,3,3,1,3
moral_disputes::89,moral_disputes,mmlu,3,3,1,3
history::844,history,arabic_mmlu,4,4,1,4
general_knowledge::781,general_knowledge,arabic_mmlu,4,4,1,4
arabic_language_(general)::151,arabic_language_(general),arabic_mmlu,3,3,1,3
history::855,history,arabic_mmlu,1,1,1,1
driving_test::921,driving_test,arabic_mmlu,1,1,1,1
professional_law::865,professional_law,mmlu,3,3,1,3
arabic_language_(general)::270,arabic_language_(general),arabic_mmlu,3,3,1,3
management::66,management,mmlu,3,4,0,4
arabic_language::70,arabic_language,arabic_mmlu,4,4,1,4
driving_test::1102,driving_test,arabic_mmlu,2,2,1,2
computer_science::181,computer_science,arabic_mmlu,4,4,1,4
civics::133,civics,arabic_mmlu,1,4,0,4
economics::87,economics,arabic_mmlu,4,4,1,4
international_law::76,international_law,mmlu,4,4,1,4
geography::1325,geography,arabic_mmlu,4,4,1,4
high_school_psychology::491,high_school_psychology,mmlu,2,2,1,2
moral_scenarios::639,moral_scenarios,mmlu,2,2,1,2
arabic_language_(grammar)::258,arabic_language_(grammar),arabic_mmlu,4,4,1,4
accounting::65,accounting,arabic_mmlu,4,4,1,4
security_studies::32,security_studies,mmlu,2,2,1,2
history::588,history,arabic_mmlu,1,1,1,1
international_law::29,international_law,mmlu,3,3,1,3
professional_psychology::121,professional_psychology,mmlu,1,1,1,1
professional_law::415,professional_law,mmlu,3,3,1,3
driving_test::767,driving_test,arabic_mmlu,4,4,1,4
professional_law::868,professional_law,mmlu,2,2,1,2
islamic_studies::1649,islamic_studies,arabic_mmlu,1,1,1,1
math::373,math,arabic_mmlu,2,2,1,2
arabic_language_(general)::322,arabic_language_(general),arabic_mmlu,1,1,1,1
management::25,management,mmlu,2,2,1,2
civics::292,civics,arabic_mmlu,1,3,0,3
history::377,history,arabic_mmlu,1,1,1,1
management_ar::60,management_ar,arabic_mmlu,2,1,0,1
computer_science::287,computer_science,arabic_mmlu,4,4,1,4
history::353,history,arabic_mmlu,2,2,1,2
social_science::160,social_science,arabic_mmlu,1,1,1,1
physics::59,physics,arabic_mmlu,4,4,1,4
management::78,management,mmlu,4,4,1,4
philosophy::252,philosophy,mmlu,3,3,1,3
high_school_geography::122,high_school_geography,mmlu,2,2,1,2
political_science::182,political_science,arabic_mmlu,2,3,0,3
professional_law::1444,professional_law,mmlu,1,1,1,1
high_school_geography::151,high_school_geography,mmlu,2,2,1,2
physics::98,physics,arabic_mmlu,1,1,1,1
human_aging::98,human_aging,mmlu,3,3,1,3
biology::459,biology,arabic_mmlu,4,4,1,4
arabic_language::591,arabic_language,arabic_mmlu,1,1,1,1
civics::137,civics,arabic_mmlu,1,4,0,4
logical_fallacies::82,logical_fallacies,mmlu,1,1,1,1
driving_test::1000,driving_test,arabic_mmlu,3,3,1,3
high_school_world_history::145,high_school_world_history,mmlu,4,4,1,4
driving_test::806,driving_test,arabic_mmlu,4,4,1,4
natural_science::258,natural_science,arabic_mmlu,4,4,1,4
arabic_language::296,arabic_language,arabic_mmlu,1,1,1,1
math::191,math,arabic_mmlu,3,3,1,3
math::200,math,arabic_mmlu,1,1,1,1
islamic_studies::1007,islamic_studies,arabic_mmlu,4,4,1,4
logical_fallacies::92,logical_fallacies,mmlu,3,3,1,3
general_knowledge::729,general_knowledge,arabic_mmlu,1,3,0,3
biology::358,biology,arabic_mmlu,1,1,1,1
high_school_psychology::508,high_school_psychology,mmlu,4,4,1,4
social_science::709,social_science,arabic_mmlu,3,3,1,3
biology::76,biology,arabic_mmlu,2,2,1,2
high_school_european_history::74,high_school_european_history,mmlu,3,3,1,3
accounting::57,accounting,arabic_mmlu,1,1,1,1
moral_scenarios::181,moral_scenarios,mmlu,1,1,1,1
