annotation_order,item_id,subject,domain_group,source,question,context,choices,gold_answer_index,gold_answer_text
1,moral_scenarios::665,moral_scenarios,islamic/moral,mmlu,فياشمن من هاذا الحالتين الشخصية الرئيسية (الي كتستعمل أنا/ليا/ديالي) دارت شي حاجة غالط أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | خترت التفاح المعفن باش نعطيه للجمعية الخيرية. الحالة 2 | بعت توت غريب فيسوق الفلاحين.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,1,غالط، موشي غالط
2,high_school_european_history::137,high_school_european_history,humanities/history,mmlu,"هاذا السؤال كيتعلق بالمعلومات التالية.
هاذا الجوج دالنصوص كتبهم المستكشف كريستوفر كولومبوس والأسقف الدومينيكاني متاع شياباس، المكسيك، بارتولومي دي لاس كاساس.
المصدر 1
الهنود كانو كيعطيو أي حاجة اللي طلب البياع. . . . وهكذا كانو كيتبادلو، كيف الحمقى، القطن والذهب مقابل قطع متاع الأقواس، والكيسان، والقرعات، والجرار؛ اللي أنا منعتها خاطر موشي عادلة، وأنا بنفسي عطيتهم برشا متاع الحوايج الزوينين والمقبولين اللي جبتهم معايا، وما خديت منهم والو في المقابل؛ درت هاذا الشي باش نقدر نصالحهم بسهولة، باش يوليو مسيحيين، ويبداو كيحترمو الملك والملكة، الأمراء ديالنا وجميع الإسبان، وباش نحفزهم يقلبو ويجمعو ويعطيونا هاذا الحوايج اللي عندهم برشا، أما حنا محتاجينها برشا.
—كريستوفر كولومبوس: رسالة لرافاييل سانشيز، 1493
المصدر 2
على هاذا الخرفان المسالمين . . . من النهار الأول اللي شافوهم فييه، الإسبان طاحو عليهم كيف الذياب الجيعانة على القطيع، ولا كيف النمور والسباع اللي ما كلاوش اللحم هادي أيام. الطريقة اللي بداو بيها بقات هي هي حتى لليوم، والإسبان مازال ما كيديرو والو غير كيقطعو الناس الأصليين، كيقتلوهم ويعذبوهم بلا رحمة، كيكرفصوهم ويضطهدوهم. غادي نوصفو في الوقت المناسب شي طرق متاع التعذيب اللي خترعوها وحسنوها لهاد الغرض، أما واحد يقدر يعرف قدّاش هاذا الطرق فيعالة من الأرقام بوحدها. ملي وصلو الإسبان للمرة الأولى، كان عدد السكان الأصليين فيجزيرة هيسبانيولا شي 3 مليون؛ اليوم ما بقاو غير 200. السبب متاع قتل وتدمير هاذا العدد اللامتناهي متاع الأرواح هو أن المسيحيين عندهم هدف نهائي، وهو الحصول على الذهب، وباش يغناو فيوقت قصير برشا ويوصلو لمرتبة عالية ما كيستاهلوهاش.
—بارتولومي دي لاس كاساس: تقرير قصير عن تدمير جزر الهند، 1542
من بين هاذا الدوافع متاع الاستكشاف، شنوّة هو اللي دي لاس كاساس غالبا غادي يعتبرو هو الأهم في المصدر 2؟",,تحويل السكان الأصليين للمسيحية ||| الربح المادي ||| المجد الشخصي ||| لقاء شركاء جداد,0,تحويل السكان الأصليين للمسيحية
3,biology::1356,biology,STEM/health,arabic_mmlu,كتنتج حبوب اللقاح بواسطة الانقسام ٠٠٠٠٠ داخل كياس حبوب اللقاح فالمتك,,الميوزي متاع الجراثيم الصغيرة ||| الميتوزي متاع الجراثيم الصغيرة ||| الميتوزي متاع نواة الجراثيم الصغيرة,2,الميتوزي متاع نواة الجراثيم الصغيرة
4,world_religions::120,world_religions,islamic/moral,mmlu,زوانغزي كيوصف حالة بزيران، شنوّة معناها من هاذا الكلمات؟,,التفكير ||| عدم الفعل ||| التلقائية ||| التأمل,2,التلقائية
5,security_studies::152,security_studies,professional/civic,mmlu,فيسياق الأمن العسكري، شنوّة من هاذا الحوايج موشي فيايدة واضحة متاع تبني نهج نظري 'نقدي'؟,,نهج أكثر نقدي لدراسات الأمن العسكري غادي يسمح بإدخال أو تبني نماذج غير واقعية، كيف البنائية الاجتماعية. ||| التحليل النقدي للأمن العسكري غادي يرجع الانتباه للمفاهيم التقليدية متاع النموذج المرتكز على الدولة اللي تهمشات في السنين الأخيرة، خاطر الدول فيضلات الأمن الإنساني ومقاربات أخرى غير تقليدية. ||| بتطبيق تحليل نقدي نقدرو نعترفو بأن المفاهيم التقليدية متاع الأمن العسكري موشي ديما مناسبة هاذا الوقت وممكن خاصها تعاود تتراجع. ||| المقاربة النقدية غادي تعترف بالتغيير فيمفهوم الأمن في العالم الحقيقي. هاذا التغييرات باينة في الطرق الجديدة اللي تدارت بيها الحرب في القرن العشرين والواحد والعشرين.,1,التحليل النقدي للأمن العسكري غادي يرجع الانتباه للمفاهيم التقليدية متاع النموذج المرتكز على الدولة اللي تهمشات في السنين الأخيرة، خاطر الدول فيضلات الأمن الإنساني ومقاربات أخرى غير تقليدية.
6,economics::74,economics,professional/civic,arabic_mmlu,بيان صادر عن رئاسة الحكومة موجه للوزارات والهياكل الحكومية الكل باش يحضّر الميزانية العامة وفق القواعد والتوجيهات اللي جاية في المرحلة متاع الآن. ,,التحضير والإعداد ||| الاعتماد والإقرار ||| التنفيذ ||| مراقبة التنفيذ والتقييم,0,التحضير والإعداد
7,biology::485,biology,STEM/health,arabic_mmlu,وحدة من هاذي ما كتستعملش فالتفاعلات الضوئية الحلقية هي :,,الفيرودكسين ||| ATP ||| PSI ||| السيتوكروم,1,ATP
8,nutrition::123,nutrition,STEM/health,mmlu,السلامة متاع شكون من هاذا المواد خاصها تتبين قبل ما يدخلوها في الماكلة؟\n,,المواد الكيماوية متاع المبيدات ||| المواد الي كتخرج من تغليف الماكلة ||| المواد الملونة |||  كل شي الي تقال,3, كل شي الي تقال
9,high_school_government_and_politics::67,high_school_government_and_politics,professional/civic,mmlu,الفكرة باش وثيقة الحقوق كتطبق على الحكومة الفيدرالية والحكومات متاع الولايات بواسطة التعديل الرابع عشر كيتسمى,,الماندامس ||| الحبس كوربس ||| التفسير الضيق ||| مبدأ الإدماج,3,مبدأ الإدماج
10,social_science::617,social_science,humanities/history,arabic_mmlu,شكون اللي بنى قلعة عجلون ....؟,,صلاح الدين الأيوبي ||| عز الدين أسامة ||| سام بن نوح ||| الملك حسام الدين,1,عز الدين أسامة
