annotation_order,item_id,subject,domain_group,source,question,context,choices,gold_answer_index,gold_answer_text
1,moral_scenarios::665,moral_scenarios,islamic/moral,mmlu,في اناهي حالة من هاذي الحالتين الشخصية الرئيسية (الي تستعمل أنا/ليا/متاعي) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | خترت التفاح المعفن بش نعطيه للجمعية الخيرية. الحالة 2 | بعت توت براني في سوق الفلاحة.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,1,غالط، موشي غالط
3,biology::1356,biology,STEM/health,arabic_mmlu,حبوب اللقاح تتكوّن بالانقسام ٠٠٠٠٠ داخل أكياس حبوب اللقاح في المتك.,,الميوزي متاع الجراثيم الصغيرة ||| الميتوزي متاع الجراثيم الصغيرة ||| الميتوزي متاع نواة الجراثيم الصغيرة,2,الميتوزي متاع نواة الجراثيم الصغيرة
4,world_religions::120,world_religions,islamic/moral,mmlu,"زوانغزي يوصف حالة ""زيران"" (ziran)، شنوّة معناها الكلمة هاذي؟",,التفكير ||| عدم الفعل ||| التلقائية ||| التأمل,2,التلقائية
5,security_studies::152,security_studies,professional/civic,mmlu,"في سياق الأمن العسكري، شنوّة من الحوايج هاذي موش فايدة واضحة من تبنّي مقاربة نظرية ""نقدية""؟|||1. مقاربة أكثر نقدية لدراسات الأمن العسكري باش تسمح بإدخال ولاّ تبنّي نماذج موش واقعية، كيما البنائية الاجتماعية.
2. التحليل النقدي للأمن العسكري باش يرجّع الانتباه للمفاهيم التقليدية متاع النموذج المرتكز على الدولة اللي تهمّشت في السنوات الأخيرة، على خاطر الدول فضّلت الأمن الإنساني ومقاربات أخرى موش تقليدية.
3. كي نطبّقوا تحليل نقدي نجّموا نعترفوا اللي المفاهيم التقليدية متاع الأمن العسكري ماعادش ديما مناسبة للوقت هذا ويمكن يلزمها تتراجع.
4. المقاربة النقدية باش تعترف بالتغيير في مفهوم الأمن في العالم الحقيقي. التغييرات هاذي باينة في الطرق الجديدة اللي تدارت بيها الحرب في القرن العشرين والواحد والعشرين.",,نهج أكثر نقدي لدراسات الأمن العسكري غادي يسمح بإدخال أو تبني نماذج غير واقعية، كيف البنائية الاجتماعية. ||| التحليل النقدي للأمن العسكري غادي يرجع الانتباه للمفاهيم التقليدية متاع النموذج المرتكز على الدولة اللي تهمشات في السنين الأخيرة، خاطر الدول فيضلات الأمن الإنساني ومقاربات أخرى غير تقليدية. ||| بتطبيق تحليل نقدي نقدرو نعترفو بأن المفاهيم التقليدية متاع الأمن العسكري موشي ديما مناسبة هاذا الوقت وممكن خاصها تعاود تتراجع. ||| المقاربة النقدية غادي تعترف بالتغيير فيمفهوم الأمن في العالم الحقيقي. هاذا التغييرات باينة في الطرق الجديدة اللي تدارت بيها الحرب في القرن العشرين والواحد والعشرين.,1,التحليل النقدي للأمن العسكري غادي يرجع الانتباه للمفاهيم التقليدية متاع النموذج المرتكز على الدولة اللي تهمشات في السنين الأخيرة، خاطر الدول فيضلات الأمن الإنساني ومقاربات أخرى غير تقليدية.
6,economics::74,economics,professional/civic,arabic_mmlu,بلاغ صادر على رئاسة الحكومة موجّه للوزارات والهياكل الحكومية الكل باش تحضّر الميزانية العامة وفق القواعد والتوجيهات المطلوبة. المرحلة هاذي هي مرحلة:,,التحضير والإعداد ||| الاعتماد والإقرار ||| التنفيذ ||| مراقبة التنفيذ والتقييم,0,التحضير والإعداد
7,biology::485,biology,STEM/health,arabic_mmlu,وحدة من هاذي ما تتستعملش في التفاعلات الضوئية الحلقية:,,الفيرودكسين ||| ATP ||| PSI ||| السيتوكروم,1,ATP
8,nutrition::123,nutrition,STEM/health,mmlu,"سلامة اناهي مادة من المواد هاذي لازمها تثبت قبل ما تتزاد في الماكلة؟|||1. المواد الكيماوية متاع المبيدات
2. المواد اللي تخرج من تغليف الماكلة
3. المواد الملوّنة
4. كل اللي تقال",,المواد الكيماوية متاع المبيدات ||| المواد الي كتخرج من تغليف الماكلة ||| المواد الملونة |||  كل شي الي تقال,3, كل شي الي تقال
9,high_school_government_and_politics::67,high_school_government_and_politics,professional/civic,mmlu,"المبدأ اللي يقول اللي وثيقة الحقوق تتطبّق على الحكومة الفيدرالية وحكومات الولايات عن طريق التعديل الرابع عشر يتسمّى:|||1. الماندامس
2. هابياس كوربوس
3. التفسير الضيق
4. مبدأ الإدماج",,الماندامس ||| الحبس كوربس ||| التفسير الضيق ||| مبدأ الإدماج,3,مبدأ الإدماج
10,social_science::617,social_science,humanities/history,arabic_mmlu,شكون اللي بنى قلعة عجلون ....؟,,صلاح الدين الأيوبي ||| عز الدين أسامة ||| سام بن نوح ||| الملك حسام الدين,1,عز الدين أسامة
11,driving_test::1161,driving_test,professional/civic,arabic_mmlu,إذا ما فماش علامات تحدّد في السرعة، السرعة القصوى المسموح بيها داخل المناطق العمرانية هي:,,50 كلم\س ||| 40 كلم\س ||| 60 كلم\س,0,50 كلم\س
12,arabic_language::53,arabic_language,language,arabic_mmlu,"شنيّة معناها كلمة ""صاغ"" في قول الشاعر: ""صاغ نصر العرب في يوم الكرامة""؟",,صاغة ||| سطع ||| فيزء ||| صنع,3,صنع
13,moral_scenarios::253,moral_scenarios,islamic/moral,mmlu,في اناهي حالة من الزوز حالات هاذي الشخصية الرئيسية (اللي تستعمل أنا/ليا) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | مرتي قالتلي اللي حاسّة بالسخانة، نقّصت في التسخين. الحالة 2 | كي شفت جاري يحيّد في حوايجو قدّام الشباك، جبدت كرسي وقعدت نتفرّج.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,2,موشي غالط، غالط
14,moral_scenarios::441,moral_scenarios,islamic/moral,mmlu,في اناهي حالة من الزوز حالات هاذي الشخصية الرئيسية (اللي تستعمل أنا/ليا) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | كنت شويّة عيّان، ركنت في بلاصة المعوقين. الحالة 2 | لحست الغلّة قبل ما نقدّمها لضيافي.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,0,غالط، غالط
15,accounting::69,accounting,professional/civic,arabic_mmlu,"السؤال الأول: اختار (أ) إذا كانت الجملة صحيحة، و(ب) إذا كانت غالطة:
هدف النظام المحاسبي في الشركات الكبيرة يقتصر على تحديد نتائج أعمال المشروع خلال فترات زمنية وتحديد مركزها المالي في آخر كل فترة بصفة دورية منتظمة.",,صح ||| غلط,1,غلط
16,natural_science::573,natural_science,STEM/health,arabic_mmlu,عملية انتقال الطاقة من كائن حي لكائن حي آخر في مسار محدّد هي:,,السلسلة الغذائية ||| المنتجات ||| المستهلكات ||| الشبكة الغذائية,0,السلسلة الغذائية
17,moral_disputes::321,moral_disputes,islamic/moral,mmlu,نفترضوا اللي ويلمان حاجج اللي كيما عندك الحق ما تعرّسش بشكون يتضرّر من رفضك، الدولة حرّة باش تقصي الآخرين حتى إذا سبّبت لهم ضرر. فاين باش تجاوب وتقول اللي:,,الدولة الليبرالية ما يمكنش تدعي بأنها بشكل أساسي جمعية حميمية أو تعبيرية. ||| ما عندكش الحق باش ترفض طلب زواج شرعي. ||| ما كاينش فيرق بين العلاقات الزوجية والعلاقة بين المواطن ودولتو. ||| رفض الزواج مع شي واحد ما يمكنش يكون سبب متاع الضرر.,0,الدولة الليبرالية ما يمكنش تدعي بأنها بشكل أساسي جمعية حميمية أو تعبيرية.
18,natural_science::306,natural_science,STEM/health,arabic_mmlu,المروحة الهوائية تتحرّك كي تلمسها الريح وتدور، وهكّة تحوّل الطاقة من:,,كيميائية لحركية ||| كهربائية لحرارية ||| حركية لحرارية ||| حركية لكهربائية,3,حركية لكهربائية
19,professional_law::1198,professional_law,professional/civic,mmlu,"راجل عندو بناية من أربعة طوابق. تسلّف 125,000 دولار من صاحبو باش يعمل تحسينات. مقابل السلفة، عمل الراجل ورقة دين بـ125,000 دولار تتخلّص لصاحبو في ظرف عام، وضمنها برهن على البناية. الرهن تعمل في غرّة جانفي 2008 وتسجّل في 2 جانفي 2008. من بعد، في غرّة فيفري 2008، عمل الراجل عقد بيع كامل للبناية وسمّى صاحبو كمشتري. العقد هذا، ولو اللي في شكلو بيع كامل، ما كانش إلا ضمان إضافي لخلاص الدين. وباش يتفادى إجراءات الحجز القضائي ويحيّد حق الافتداء، سلّم الراجل العقد لوسيط أمانة وأعطاه تعليمات باش يسلّمو لصاحبو إذا ما تخلصتش ورقة الدين في وقتها. في غرّة جانفي 2009، ما خلّصش الراجل الورقة كي وصل الأجل. الغدوة، سلّم الوسيط عقد البناية للصاحب. الصاحب سجّل العقد بشكل صحيح في 3 جانفي. جمعة من بعد، في 10 جانفي، باع الصاحب البناية بعقد ضمان لمستثمر بـ200,000 دولار. في 12 جانفي، عرض الراجل على صاحبو الـ125,000 دولار اللي باقية عليه، أما هذاكة رفض ياخذها. توّا الراجل رفع دعوى مناسبة ضد الصاحب والمستثمر باش يبطّل البيع ويتسمحلو يفتدي الملك. شنوّة أحسن وصف للحقوق القانونية متاع الراجل، إذا كانت عندو، في الدعوى متاعو ضد الصاحب والمستثمر؟",,الراجل ما عندو حتى حق ضد المستثمر، أما عندو دعوى افتداء ضد الصاحب على قيمة الملك. ||| الراجل ما عندو حتى حق ضد الصاحب، أما عندو دعوى افتداء ضد المستثمر على قيمة الملك. ||| الراجل عندو الخيار يطلب الافتداء إما من الصاحب ولا من المستثمر على قيمة الملك، أما ما يقدرش يبطل البيع. ||| الراجل ما عندو حتى حق لا ضد الصاحب ولا ضد المستثمر خاطر ما خلصش الورقة متاع الدين.,0,الراجل ما عندو حتى حق ضد المستثمر، أما عندو دعوى افتداء ضد الصاحب على قيمة الملك.
20,computer_science::172,computer_science,STEM/health,arabic_mmlu,"أحسن وصف للإنترنت هو اللي:|||1. برنامج البريد الإلكتروني بوحدو
2. شبكة الويب العالمية بوحدها
3. عبارة على دمج بين البريد الإلكتروني وشبكة الويب العالمية
4. برنامج التجارة الإلكترونية",,برنامج البريد الإلكتروني بوحدو ||| شبكة الويب العالمية بوحدها ||| عبارة على دمج متاع البريد الإلكتروني وشبكة الويب العالمية ||| برنامج التجارة الإلكترونية,2,عبارة على دمج متاع البريد الإلكتروني وشبكة الويب العالمية
21,islamic_studies::895,islamic_studies,islamic/moral,arabic_mmlu,أول وحدة آمنات من النساء هي خديجة بنت خويلد .,,صحيح ||| غالط,0,صحيح
