item_id,cfg,source,flag,severity
accounting::0,accounting,arabic_mmlu,True,morphological
accounting::1,accounting,arabic_mmlu,True,morphological
accounting::2,accounting,arabic_mmlu,True,morphological
accounting::3,accounting,arabic_mmlu,True,morphological
accounting::4,accounting,arabic_mmlu,True,morphological
accounting::5,accounting,arabic_mmlu,False,clean
accounting::6,accounting,arabic_mmlu,True,morphological
accounting::7,accounting,arabic_mmlu,True,morphological
accounting::8,accounting,arabic_mmlu,False,clean
accounting::9,accounting,arabic_mmlu,True,morphological
accounting::10,accounting,arabic_mmlu,True,morphological
accounting::11,accounting,arabic_mmlu,True,morphological
accounting::12,accounting,arabic_mmlu,True,morphological
accounting::13,accounting,arabic_mmlu,True,morphological
accounting::14,accounting,arabic_mmlu,True,morphological
accounting::15,accounting,arabic_mmlu,False,clean
accounting::16,accounting,arabic_mmlu,True,morphological
accounting::17,accounting,arabic_mmlu,True,morphological
accounting::18,accounting,arabic_mmlu,True,morphological
accounting::19,accounting,arabic_mmlu,True,morphological
accounting::20,accounting,arabic_mmlu,False,clean
accounting::21,accounting,arabic_mmlu,True,morphological
accounting::22,accounting,arabic_mmlu,True,morphological
accounting::23,accounting,arabic_mmlu,True,morphological
accounting::24,accounting,arabic_mmlu,True,morphological
accounting::25,accounting,arabic_mmlu,True,morphological
accounting::26,accounting,arabic_mmlu,False,clean
accounting::27,accounting,arabic_mmlu,True,morphological
accounting::28,accounting,arabic_mmlu,True,morphological
accounting::29,accounting,arabic_mmlu,True,morphological
accounting::30,accounting,arabic_mmlu,True,morphological
accounting::31,accounting,arabic_mmlu,False,clean
accounting::32,accounting,arabic_mmlu,True,morphological
accounting::33,accounting,arabic_mmlu,True,morphological
accounting::34,accounting,arabic_mmlu,True,morphological
accounting::35,accounting,arabic_mmlu,True,morphological
accounting::36,accounting,arabic_mmlu,True,morphological
accounting::37,accounting,arabic_mmlu,False,clean
accounting::38,accounting,arabic_mmlu,False,clean
accounting::39,accounting,arabic_mmlu,True,morphological
accounting::40,accounting,arabic_mmlu,False,clean
accounting::41,accounting,arabic_mmlu,False,clean
accounting::42,accounting,arabic_mmlu,True,morphological
accounting::43,accounting,arabic_mmlu,False,clean
accounting::44,accounting,arabic_mmlu,True,morphological
accounting::45,accounting,arabic_mmlu,True,morphological
accounting::46,accounting,arabic_mmlu,True,morphological
accounting::47,accounting,arabic_mmlu,True,morphological
accounting::48,accounting,arabic_mmlu,True,morphological
accounting::49,accounting,arabic_mmlu,True,morphological
accounting::50,accounting,arabic_mmlu,True,morphological
accounting::51,accounting,arabic_mmlu,True,morphological
accounting::52,accounting,arabic_mmlu,True,morphological
accounting::53,accounting,arabic_mmlu,True,morphological
accounting::54,accounting,arabic_mmlu,True,morphological
accounting::55,accounting,arabic_mmlu,True,morphological
accounting::56,accounting,arabic_mmlu,True,morphological
accounting::57,accounting,arabic_mmlu,True,morphological
accounting::58,accounting,arabic_mmlu,True,morphological
accounting::59,accounting,arabic_mmlu,True,morphological
accounting::60,accounting,arabic_mmlu,False,clean
accounting::61,accounting,arabic_mmlu,True,morphological
accounting::62,accounting,arabic_mmlu,False,clean
accounting::63,accounting,arabic_mmlu,True,morphological
accounting::64,accounting,arabic_mmlu,False,clean
accounting::65,accounting,arabic_mmlu,True,morphological
accounting::66,accounting,arabic_mmlu,True,morphological
accounting::67,accounting,arabic_mmlu,True,morphological
accounting::68,accounting,arabic_mmlu,False,clean
accounting::69,accounting,arabic_mmlu,True,morphological
accounting::70,accounting,arabic_mmlu,True,morphological
accounting::71,accounting,arabic_mmlu,True,morphological
accounting::72,accounting,arabic_mmlu,True,morphological
accounting::73,accounting,arabic_mmlu,True,morphological
arabic_language::0,arabic_language,arabic_mmlu,False,clean
arabic_language::1,arabic_language,arabic_mmlu,True,morphological
arabic_language::2,arabic_language,arabic_mmlu,False,clean
arabic_language::3,arabic_language,arabic_mmlu,True,lexical_or_artifact
arabic_language::4,arabic_language,arabic_mmlu,False,clean
arabic_language::5,arabic_language,arabic_mmlu,True,morphological
arabic_language::6,arabic_language,arabic_mmlu,True,morphological
arabic_language::7,arabic_language,arabic_mmlu,True,lexical_or_artifact
arabic_language::8,arabic_language,arabic_mmlu,True,morphological
arabic_language::9,arabic_language,arabic_mmlu,False,clean
arabic_language::10,arabic_language,arabic_mmlu,False,clean
arabic_language::11,arabic_language,arabic_mmlu,False,clean
arabic_language::12,arabic_language,arabic_mmlu,True,morphological
arabic_language::13,arabic_language,arabic_mmlu,False,clean
arabic_language::14,arabic_language,arabic_mmlu,False,clean
arabic_language::15,arabic_language,arabic_mmlu,False,clean
arabic_language::16,arabic_language,arabic_mmlu,False,clean
arabic_language::17,arabic_language,arabic_mmlu,True,lexical_or_artifact
arabic_language::18,arabic_language,arabic_mmlu,False,clean
arabic_language::19,arabic_language,arabic_mmlu,False,clean
arabic_language::20,arabic_language,arabic_mmlu,True,morphological
arabic_language::21,arabic_language,arabic_mmlu,True,morphological
